Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,6.640000,6.750000,6.360000,6.360000,6.360000,222600
2020-01-03,6.270000,6.350000,6.147000,6.160000,6.160000,248000
2020-01-06,6.150000,6.170000,6.050000,6.090000,6.090000,190200
2020-01-07,6.070000,6.180000,5.890000,5.950000,5.950000,420200
2020-01-08,5.900000,5.900000,5.650000,5.740000,5.740000,336100
2020-01-09,5.720000,5.810000,5.530000,5.680000,5.680000,271900
2020-01-10,5.670000,5.677000,5.260000,5.350000,5.350000,398900
2020-01-13,5.360000,5.376000,5.000000,5.040000,5.040000,462200
2020-01-14,4.990000,5.340000,4.990000,5.220000,5.220000,453500
2020-01-15,5.220000,5.320000,5.090000,5.140000,5.140000,333000
2020-01-16,5.310000,5.310000,5.060000,5.100000,5.100000,347700
2020-01-17,5.130000,5.145000,4.990000,5.020000,5.020000,370100
2020-01-21,5.000000,5.230000,4.700000,5.030000,5.030000,638400
2020-01-22,5.060000,5.130000,4.820000,4.820000,4.820000,410500
2020-01-23,4.820000,4.943000,4.650000,4.760000,4.760000,316800
2020-01-24,4.760000,4.820000,4.420000,4.440000,4.440000,288900
2020-01-27,4.400000,4.490000,4.143000,4.200000,4.200000,347800
2020-01-28,4.290000,4.350000,4.100000,4.180000,4.180000,215500
2020-01-29,4.120000,4.380000,4.050000,4.280000,4.280000,318900
2020-01-30,4.200000,4.350000,4.080000,4.100000,4.100000,408800
2020-01-31,4.100000,4.200000,3.740000,3.860000,3.860000,630600
2020-02-03,3.970000,4.090000,3.780000,3.820000,3.820000,255100
2020-02-04,3.810000,4.070000,3.620000,3.830000,3.830000,430900
2020-02-05,3.890000,4.300000,3.815000,4.130000,4.130000,725500
2020-02-06,4.200000,4.225000,4.020000,4.200000,4.200000,227800
2020-02-07,4.230000,4.310000,3.940000,4.030000,4.030000,218300
2020-02-10,4.030000,4.050000,3.820000,3.980000,3.980000,315100
2020-02-11,3.920000,4.070000,3.710000,3.990000,3.990000,362400
2020-02-12,4.030000,4.090000,3.803000,3.840000,3.840000,276000
2020-02-13,3.800000,3.910000,3.750000,3.840000,3.840000,197800
2020-02-14,3.780000,4.060000,3.780000,3.910000,3.910000,273400
2020-02-18,3.930000,4.440000,3.930000,4.370000,4.370000,790200
2020-02-19,3.810000,3.810000,3.020000,3.600000,3.600000,1579700
2020-02-20,3.590000,3.670000,3.050000,3.100000,3.100000,1178200
2020-02-21,3.080000,3.080000,2.810000,2.980000,2.980000,1354700
2020-02-24,2.810000,2.816000,2.680000,2.700000,2.700000,591100
2020-02-25,2.730000,2.730000,2.020000,2.100000,2.100000,1520400
2020-02-26,2.160000,2.810000,2.150000,2.270000,2.270000,1578600
2020-02-27,2.270000,3.120000,2.030000,2.780000,2.780000,1678800
2020-02-28,3.010000,3.240000,2.800000,2.860000,2.860000,1071400
2020-03-02,2.900000,2.900000,2.420000,2.530000,2.530000,779800
2020-03-03,2.650000,2.650000,2.320000,2.350000,2.350000,368300
2020-03-04,2.410000,2.740000,2.370000,2.720000,2.720000,530500
2020-03-05,2.670000,3.680000,2.670000,3.110000,3.110000,2233400
2020-03-06,3.080000,3.210000,2.800000,2.940000,2.940000,807500
2020-03-09,2.800000,2.890000,2.010000,2.610000,2.610000,690200
2020-03-10,2.640000,2.760000,2.250000,2.490000,2.490000,605700
2020-03-11,2.390000,2.970000,2.390000,2.800000,2.800000,642600
2020-03-12,2.640000,2.640000,2.050000,2.310000,2.310000,865100
2020-03-13,2.450000,2.538000,2.100000,2.280000,2.280000,751200
